wilayah,paslon1,paslon2,paslon3,paslon4,total_sah,tidak_sah
BANDUNG,743267,146873,458253,436350,1782482,28623
BANDUNG BARAT,350442,91102,220321,211393,870747,30453
BEKASI,234435,103691,486981,333129,1155956,12766
BOGOR,526453,321128,797319,589938,2229337,124577
CIAMIS,251639,126952,178741,133091,690431,31361
CIANJUR,338565,103139,263847,327438,1032434,41695
CIREBON,306687,205140,198565,288092,995742,56613
GARUT,436297,183720,246421,335949,1201742,66034
INDRAMAYU,309032,114247,121725,205936,749213,11802
KARAWANG,239782,134031,280247,402676,1054801,16410
KOTA BANDUNG,656235,111186,359371,155146,1275632,28460
KOTA BANJAR,37785,15680,21628,35615,110185,3621
KOTA BEKASI,352570,104083,375114,196580,1027502,28339
KOTA BOGOR,165777,48287,173743,110902,497212,25439
KOTA CIMAHI,135249,21117,90962,41669,289009,4377
KOTA CIREBON,56580,24617,40967,38329,160346,8905
KOTA DEPOK,246435,69635,355523,135173,806481,12508
KOTA SUKABUMI,53670,21429,59560,33331,166413,9538
KOTA TASIKMALAYA,104402,35773,164720,73502,378397,8864
KUNINGAN,180983,91576,169265,133219,569121,32239
MAJALENGKA,182314,203178,167148,157884,710582,26463
PANGANDARAN,75371,83353,35468,49493,243332,3863
PURWAKARTA,120945,33366,132703,210720,497114,21427
SUBANG,218198,102675,117900,344594,781202,40930
SUKABUMI,296823,108172,395318,318244,1118557,36157
SUMEDANG,253092,82624,133861,177826,648055,23100
TASIKMALAYA,363420,99278,257584,193294,912661,13877
